timestamp,red,ir
1766327384.1222923,122951,116854
1766327384.1332445,122951,116854
1766327384.1441958,122951,116854
1766327384.1551466,122781,116701
1766327384.1661396,122939,116879
1766327384.1770947,122939,116879
1766327384.188046,122831,116751
1766327384.1991513,123018,116854
1766327384.2102222,123018,116854
1766327384.2212362,123018,116854
1766327384.2321932,122875,116740
1766327384.2431452,123058,116902
1766327384.2540975,123058,116902
1766327384.2650673,123058,116902
1766327384.2760253,122906,116751
1766327384.28699,123051,116883
1766327384.297945,123051,116883
1766327384.3089132,122981,116736
1766327384.319876,123061,116878
1766327384.3308318,123061,116878
1766327384.341784,123061,116878
1766327384.352737,123021,116785
1766327384.363723,122815,116767
1766327384.3746955,122815,116767
1766327384.3856506,122815,116822
1766327384.3967757,122584,116635
1766327384.407829,122584,116635
1766327384.4188046,122584,116635
1766327384.4297624,123084,116818
1766327384.4407156,122574,116681
1766327384.4516673,122574,116681
1766327384.462728,122574,116681
1766327384.4737017,123126,116812
1766327384.4846578,122650,116731
1766327384.4956164,122650,116731
1766327384.5065694,123110,116774
1766327384.5175314,122690,116722
1766327384.5284908,122690,116722
1766327384.5394428,122690,116722
1766327384.550393,122897,116707
1766327384.5613847,122788,116764
1766327384.5723584,122788,116764
1766327384.583312,122788,116764
1766327384.59444,122669,116618
1766327384.60541,122820,116750
1766327384.6163752,122820,116750
1766327384.6273303,122547,116560
1766327384.6382835,122833,116773
1766327384.6492357,122833,116773
1766327384.6607313,122833,116773
1766327384.6717584,122537,116564
1766327384.6827197,122820,116745
1766327384.693674,122820,116745
1766327384.7046323,122585,116607
1766327384.7156267,122872,116784
1766327384.7265954,122872,116784
1766327384.7375484,122872,116784
1766327384.7485006,122621,116599
1766327384.7594523,122910,116798
1766327384.7704413,122910,116798
1766327384.7813964,122910,116798
1766327384.7923493,122676,116633
1766327384.8033006,122996,116847
1766327384.8142571,122996,116847
1766327384.8252153,122734,116634
1766327384.8361695,123015,116825
1766327384.8471217,123015,116825
1766327384.858073,123015,116825
1766327384.8690555,122721,116646
1766327384.880013,123009,116849
1766327384.8909655,123009,116849
1766327384.9019167,123009,116849
1766327384.9128678,123093,116821
