t,red,ir
1766854696.5375044,241949,225584
1766854696.5475044,241728,225498
1766854696.557506,241728,225498
1766854696.5675063,241728,225498
1766854696.5775056,241728,225353
1766854696.5875046,241489,225407
1766854696.5975394,241489,225407
1766854696.6075075,241489,225407
1766854696.6175044,241797,225330
1766854696.627504,241496,225415
1766854696.6375039,241496,225415
1766854696.6475706,241496,225415
1766854696.6575284,241565,225251
1766854696.6675472,241596,225438
1766854696.677505,241596,225438
1766854696.687504,241596,225438
1766854696.6975048,241520,225246
1766854696.7075057,241721,225479
1766854696.7175071,241721,225479
1766854696.7275045,241721,225479
1766854696.7375202,241585,225261
1766854696.7475235,241813,225489
1766854696.7575314,241813,225489
1766854696.7675254,241813,225489
1766854696.7775223,241711,225302
1766854696.7875214,241863,225518
1766854696.7975059,241863,225518
1766854696.8075275,241863,225518
1766854696.8175125,241797,225325
1766854696.827507,241870,225502
1766854696.837506,241870,225502
1766854696.8475049,241870,225502
1766854696.8575048,241843,225324
1766854696.8675053,241861,225484
1766854696.877504,241861,225484
1766854696.887504,241861,225484
1766854696.8975053,241858,225328
1766854696.9075205,241869,225497
1766854696.9175065,241869,225497
1766854696.9275045,241869,225497
1766854696.9375112,241847,225308
1766854696.9476008,241912,225501
1766854696.9575226,241912,225501
1766854696.9675193,241912,225501
1766854696.977532,241877,225321
1766854696.9875143,241958,225510
1766854696.9975064,241958,225510
1766854697.0075076,241958,225510
1766854697.017506,241931,225331
1766854697.0275073,242005,225535
1766854697.0375047,242005,225535
1766854697.0475051,242005,225535
1766854697.057511,241959,225343
1766854697.067518,242014,225522
1766854697.0775216,242014,225522
1766854697.0875325,242014,225522
1766854697.0975292,241982,225345
1766854697.1075203,242034,225512
1766854697.1175072,242034,225512
1766854697.1275167,242034,225512
1766854697.1385758,242023,225341
1766854697.1475167,242061,225512
1766854697.161841,242061,225512
1766854697.1675394,242061,225512
1766854697.1775217,242077,225349
1766854697.1875277,241967,225471
1766854697.1975062,241967,225471
1766854697.2075162,241967,225471
1766854697.2175102,242053,225345
1766854697.2275097,241729,225386
1766854697.237508,241729,225386
1766854697.2475078,241729,225386
1766854697.2575061,241865,225276
1766854697.2675085,241538,225330
1766854697.2775044,241538,225330
1766854697.2875073,241538,225330
1766854697.2975054,241571,225160
1766854697.307506,241569,225334
1766854697.3175251,241569,225334
1766854697.3275077,241569,225334
1766854697.337507,241512,225148
1766854697.3475087,241642,225362
1766854697.3575084,241642,225362
1766854697.3675065,241642,225362
1766854697.3775055,241590,225163
1766854697.3875046,241712,225382
1766854697.3975067,241712,225382
1766854697.4075148,241712,225382
1766854697.4175057,241707,225212
1766854697.4275036,241778,225398
1766854697.4375038,241778,225398
1766854697.4475071,241778,225398
1766854697.457504,241791,225240
1766854697.46752,241859,225403
1766854697.4775236,241859,225403
1766854697.487528,241859,225403
1766854697.4975073,241833,225250
1766854697.5077698,241915,225403
1766854697.518579,241915,225403
1766854697.5275216,241915,225403
1766854697.537522,241837,225244
1766854697.5475106,241837,225400
1766854697.5575068,241837,225400
1766854697.5675104,241837,225400
1766854697.5775228,241845,225238
1766854697.587508,241755,225420
1766854697.5975082,241755,225420
1766854697.6075044,241755,225420
1766854697.617506,241881,225255
1766854697.6275058,241760,225434
1766854697.6375046,241760,225434
1766854697.6475637,241760,225434
1766854697.657528,241949,225253
1766854697.6675055,241883,225475
1766854697.6775043,241883,225475
1766854697.6875038,241883,225475
1766854697.697505,241996,225260
1766854697.707719,241967,225503
1766854697.7175217,241967,225503
1766854697.727508,241967,225503
1766854697.7375069,242055,225268
1766854697.7475069,242000,225402
1766854697.7575064,242000,225402
1766854697.7675095,242000,225402
1766854697.7775064,242070,225286
1766854697.7875257,242042,225310
1766854697.7975245,242042,225310
1766854697.807525,242042,225310
1766854697.8175077,242095,225290
1766854697.8275068,242020,225353
1766854697.8375065,242020,225353
1766854697.8475053,242020,225353
1766854697.8575242,242136,225295
1766854697.8675075,241797,225330
1766854697.8775082,241797,225330
1766854697.8875294,241797,225330
1766854697.8975215,242039,225249
1766854697.9075081,241565,225251
1766854697.9175048,241565,225251
1766854697.9275055,241565,225251
1766854697.9374845,241666,225143
1766854697.9475067,241520,225246
1766854697.9575067,241520,225246
1766854697.967515,241520,225246
1766854697.977519,241381,225077
1766854697.987523,241585,225261
1766854697.997508,241585,225261
1766854698.0075076,241585,225261
